,Host,TikTok,,Level,Month,Discord,Agent,Ranks,Bonus,New,Tix,Days,Day Pace,Active,Days Left,Hours,Hrs Goal,Hours Left,💎,Status,💎 Last 30,Growth %,Grad Left,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,LH,LH Camps
17,7359134517946417157,ashleymatute_,GO,4,47,@ashleymatute_,CARRINGTON,0,0,341,0,21,95%,Y,1.00,100,80,-,"1,218,075",,"1,377,356",-11%,NR,"1,361,144","1,101,660",6,6,71,"39,250",0,"39,250",2x,"39,250",FALSE,FALSE
22,7554552006812188727,imjustnicob,GO,5,6,@imjustnico.,BRYTON + CARRINGTON,0,0,901,0,26,118%,Y,1.00,173,80,-,"976,773",,"1,035,627",-17%,NR,"1,175,237","764,005",6,5,71,"119,000","86,000",0,2x,0,FALSE,FALSE
19,7576723590549389326,gaywhonotme,GO,6,4,@brandongraja6867,SVEN + CARRINGTON,0,"1,000","1,120",5K,26,118%,Y,1.00,140,80,-,"1,124,167",,"1,190,502",30%,-8,"864,252","724,497",5,4,70,"64,000","64,000",0,2x,0,FALSE,FALSE
10,7359135084659736581,samanthasingsit,GO,6,36,@samanthasingsit,CARRINGTON,0,"3,000","1,771",156K,26,118%,Y,1.00,110,80,-,"1,653,571",,"1,665,984",30%,NR,"1,270,834","3,904,754",3,6,69,"1,526,275","177,200","-93,625",1x,0,FALSE,FALSE
16,7359135407352610822,burnt.tatertot,GO,6,33,@burnt.tatertot,CARRINGTON,0,0,119,4K,26,118%,Y,1.00,141,80,-,"1,329,052",,"1,348,065",81%,NR,"735,549","1,364,448",5,6,69,"130,000",0,"22,000",1x,"22,000",,141
9,7359134961959632902,thecyrilia,GO,2,38,@thecyrilia,CARRINGTON,0,0,"5,307",107K,17,77%,Y,1.00,62,80,18,"1,692,837",,"1,736,132",-20%,NR,"2,104,021","2,526,624",6,6,68,"929,850","44,000","93,350",1x,"93,350",FALSE,FALSE
15,7359136363951816710,rockylanemusic,GO,4,29,@rockylane,CARRINGTON,0,"7,000",739,163K,28,127%,Y,1.00,91,80,-,"1,339,912",,"1,448,781",0%,NR,"1,342,827","1,088,531",4,3,68,"1,062,364","100,964","3,500",1x,"3,500",FALSE,FALSE
24,7555294248464039991,follow_the_breeze,GO,5,5,@brianna_the_breeze,CARRINGTON,0,"2,000",984,29K,26,118%,Y,1.00,116,80,-,"851,833",,"859,631",13%,-65,"752,245","534,034",5,4,65,"38,500","35,500",0,1x,0,FALSE,FALSE
5,7433607263870517264,alexaraeemusic,GO,4,16,@alexaraeemusic,CARRINGTON,0,"1,000","4,312",37K,25,114%,Y,1.00,84,80,-,"2,340,757",,"2,563,201",57%,NR,"1,490,015","2,927,101",2,4,64,"454,000","112,600",-200,1x,0,FALSE,FALSE
31,7451090481020321808,growandglowasmr,GO,5,15,@growandglowasmr,BRYTON + CARRINGTON,0,0,723,4K,25,114%,Y,1.00,102,80,-,"641,272",,"678,351",8%,NR,"595,296","859,638",5,5,61,"303,500","70,000","32,500",1x,"32,500",- / -,102
20,7497777597393190929,stefanielauryn415,GO,3,11,@stefanielauryn415,CARRINGTON,0,0,531,6K,25,114%,Y,1.00,70,80,10,"1,020,019",,"1,158,528",-18%,NR,"1,239,134","1,004,765",2,3,59,"115,800",0,"41,800",1x,"41,800",FALSE,FALSE
32,7359134698641293317,bobbyjwil,GO,4,42,@bobbyjwil,CARRINGTON,0,0,298,9K,21,95%,Y,1.00,90,80,-,"629,282",,"694,010",5%,NR,"596,896","1,125,547",5,6,58,"120,250",0,250,1x,250,FALSE,FALSE
37,7391438796933546001,mirsowavy,GO,5,7,@shifty0157,CARRINGTON,0,0,137,0,28,127%,Y,1.00,175,80,-,"517,352",,"535,372",40%,-120,"368,966","147,317",5,5,58,0,0,0,1x,0,FALSE,FALSE
42,7581605738645078071,jordan.borges,GO,5,3,@jordan.borges,DYLAN + CARRINGTON,0,"7,000",207,19K,27,123%,Y,1.00,123,80,-,"439,792",✪,"439,869",2%,5,"431,151","40,754",5,2,58,"19,000","17,000","2,000",1x,"2,000",FALSE,FALSE
49,7454359110578864145,alliemsx,GO,5,14,@alliems,CARRINGTON,0,0,395,0,23,105%,Y,1.00,111,80,-,"356,731",,"368,212",-33%,NR,"535,672","556,035",5,5,58,"237,000",0,500,1x,500,- / -,111
21,7359136208586637317,thebellaflora__,GO,5,30,@thebellaflora_,CARRINGTON,0,0,204,1K,23,105%,Y,1.00,100,80,-,"997,055",,"1,084,715",100%,NR,"497,820","212,358",3,2,57,"63,250",0,-750,1x,0,FALSE,FALSE
18,7359134960558571525,smity194,GO,2,38,@smity194,CARRINGTON,0,"6,000",210,115K,24,109%,Y,1.00,57,60,3,"1,171,166",,"1,230,346",3%,NR,"1,137,993","4,032,095",2,3,56,"2,905,750","287,000","-3,550",1x,0,FALSE,FALSE
25,7359135727810052101,hotterjakepaul,GO,4,32,@hotterjakepaul,CARRINGTON,0,"1,000",314,59K,26,118%,Y,1.00,82,80,-,"798,841",,"812,754",-7%,NR,"856,560","967,714",3,2,56,"929,800","78,000",0,1x,0,FALSE,FALSE
26,7359134813120659461,jeremiahboutross,GO,5,40,@jeremiahboutross,CARRINGTON,0,"4,000",147,96K,28,127%,Y,1.00,166,80,-,"758,627",,"771,741",366%,NR,"162,773","273,252",5,4,55,"138,100","6,000","12,000",1x,"12,000",FALSE,FALSE
66,7474398331670626321,_alycen,GO,5,13,@alycen_,CARRINGTON,0,"1,000","3,007",3K,27,123%,Y,1.00,154,80,-,"194,624",,"201,879",-63%,-283,"521,978","29,122",5,1,54,"9,500","2,000","7,500",1x,"7,500",FALSE,FALSE
28,7417960855335354369,pcdrums76,GO,0,18,@pcdrums76,CARRINGTON,0,0,312,173K,8,36%,Y,1.00,32,40,8,"682,236",,"683,418",-48%,NR,"1,311,281","5,451,049",4,6,51,"3,287,650","261,000",150,1x,150,- / -,32
34,7359137631822708741,sam_g_89,GO,3,26,@sam_g_89,BRYTON + CARRINGTON,0,"8,000",84,69K,24,109%,Y,1.00,74,80,6,"613,809",,"625,696",53%,NR,"399,965","412,494",4,4,50,"633,500","81,000","6,000",1x,"6,000",- / -,74
36,7566313243967471630,davidwilliamwatts,GO,3,5,@dwatts7776,ASHLEY + CARRINGTON,0,"6,000","1,500",23K,20,91%,Y,1.00,72,80,8,"522,431",,"585,787",23%,-36,"423,343","937,626",4,3,50,"65,900","11,000","32,000",1x,"32,000",FALSE,FALSE
62,7359135589712560133,silvershadowmark,GO,5,32,@silvershadowmark,CARRINGTON,0,0,679,4K,28,127%,Y,1.00,129,80,-,"245,779",,"258,437",38%,NR,"178,550","203,167",5,3,50,"40,750",0,"20,750",1x,"20,750",FALSE,FALSE
67,7359136328962801669,dougielifts,GO,5,30,@dougie9192,CARRINGTON,0,0,627,0,22,100%,Y,1.00,103,80,-,"174,493",,"174,493",-37%,-797,"278,408","431,596",5,5,50,"13,250",0,"13,250",1x,"13,250",FALSE,FALSE
29,7387268256991657985,titancosplays,GO,5,5,@wolfclanz,CARRINGTON,0,"6,000",363,6K,26,118%,Y,1.00,127,80,-,"671,705",,"729,942",174%,-54,"245,249","86,524",2,0,49,"30,000","1,000","29,000",1x,"29,000",FALSE,FALSE
56,7359139118909095942,sparksboi97,GO,0,24,@sparksboi97_16265,CARRINGTON,0,0,82,0,8,36%,Y,1.00,24,40,16,"290,770",,"490,423",-87%,NR,"2,317,678","626,264",4,4,49,"8,500","8,500",0,1x,0,FALSE,FALSE
59,7595776572192243726,muthafknsid,GO,5,2,@sid13md.,BRYTON,0,"7,000","1,063",10K,22,100%,Y,1.00,146,80,-,"276,018",✪,"302,965",86%,44,"148,034",,5,,49,"5,000","5,000",0,1x,0,FALSE,FALSE
13,7359135998355472389,brayden.pantel,GO,-1,31,@brayden.pantel,CARRINGTON,0,0,250,17K,4,18%,Y,1.00,11,15,4,"1,482,249",,"2,386,688",-41%,NR,"2,512,304","3,106,420",0,-1,48,"65,000",0,"-10,000",1x,0,FALSE,FALSE
33,7359136272692117509,koryskitchen,GO,3,30,@koryskitchen,CARRINGTON,0,0,182,2K,27,123%,Y,1.00,72,80,8,"619,960",,"666,175",35%,NR,"459,866","492,021",3,3,48,"95,750","45,000","6,250",1x,"6,250",FALSE,FALSE
68,7549665746826281015,official.kim20,GO,5,6,@kimbroroberts,CARRINGTON,0,0,"1,931",0,23,105%,Y,1.00,110,80,-,"156,165",,"182,105",-53%,NR,"334,659","845,444",4,5,47,"2,000",0,"2,000",1x,"2,000",FALSE,FALSE
27,7359134574070398981,sierralandmagic,GO,2,45,@sierralandasmr,CARRINGTON,0,"1,000","1,100",3K,17,77%,Y,1.00,78,80,2,"690,897",,"729,734",25%,NR,"554,362","723,148",2,3,43,"609,475","3,000","12,075",1x,"12,075",FALSE,FALSE
79,7359134527924666373,basswizrd,GO,5,46,@jonwick534253642,CARRINGTON,0,0,"1,068",0,24,109%,Y,1.00,109,80,-,"113,368",,"120,103",-37%,NR,"179,383","204,132",5,4,43,"5,000",0,"5,000",1x,"5,000",FALSE,FALSE
105,7570175504641474574,foolishondemkeyz,GO,5,4,@foofoo29.,TRE,0,"1,000",740,29K,22,100%,Y,1.00,107,80,-,"60,682",,"60,986",-68%,-25,"191,382","159,895",5,4,42,"5,000",0,"5,000",1x,"5,000",FALSE,FALSE
53,7481449047811964929,thecluelessbunny,GO,1,3,@thecluelessbunny,CARRINGTON,0,"4,000",897,10K,12,55%,Y,1.00,40,60,20,"322,897",✪,"322,897",3%,21,"313,468","16,961",4,-1,41,"21,000","16,000","5,000",1x,"5,000",FALSE,FALSE
83,7359135361911652357,shelbyjo89,GO,4,34,@shelbyjo89,CARRINGTON,0,0,123,0,21,95%,Y,1.00,138,80,-,"106,630",,"118,944",-12%,NR,"121,077","106,552",5,5,38,0,0,0,1x,0,FALSE,FALSE
91,7449907460980310033,tattedandspicy,GO,5,15,@tattedandspicy,CARRINGTON,0,0,373,0,26,118%,Y,1.00,204,80,-,"83,960",,"91,519",-9%,NR,"92,241","158,808",5,5,38,0,0,0,1x,0,FALSE,FALSE
94,7537793382597410829,svendranoel,GO,0,7,@svendranoel,CARRINGTON,0,0,27,20K,8,36%,Y,1.00,16,20,4,"77,938",,"77,938",-94%,NR,"1,278,145","670,911",4,5,38,"102,000","78,000",0,1x,0,FALSE,FALSE
40,7359135814745391109,tha_dripp_phamily,GO,2,31,@moedagoat_,CARRINGTON,0,0,683,2K,17,77%,Y,1.00,57,60,3,"501,009",,"501,009",47%,NR,"340,183","466,287",1,2,37,"181,375",0,"3,375",1x,"3,375",FALSE,FALSE
41,7359136672245809158,natalianope,GO,0,28,@nataliejoke,CARRINGTON,0,"3,000",56,123K,11,50%,Y,1.00,33,40,7,"484,600",,"484,600",-23%,NR,"628,757","1,008,200",2,3,37,"748,450","22,000","5,000",1x,"5,000",,33
43,7359134981857280006,averynoelles,GO,1,37,@averyszabo,CARRINGTON,0,0,40,0,19,86%,Y,1.00,30,40,10,"417,517",,"433,660",-1%,NR,"422,251","301,736",2,1,37,"19,375",0,"14,375",1x,"14,375",FALSE,FALSE
44,7359135322615185413,aaronhunt30575,GO,0,34,@aaronhunt30,CARRINGTON,0,0,103,0,9,41%,Y,1.00,21,40,19,"409,997",,"426,465",-54%,NR,"888,661","983,160",1,2,36,"384,250",0,0,1x,0,FALSE,FALSE
74,7359137468693872645,shed0fficial,GO,4,20,@shedsings,CARRINGTON,0,0,323,0,20,91%,Y,1.00,86,80,-,"122,015",,"132,582",-48%,NR,"234,249","88,461",2,1,36,"2,750",0,"2,750",1x,"2,750",FALSE,FALSE
30,7359135698651217926,mystiquedejello,GO,1,32,@mystiquedejello,CARRINGTON,0,0,"3,895",300,13,59%,Y,1.00,57,60,3,"655,346",,"766,685",14%,NR,"574,136","488,302",0,0,35,"15,425",0,"14,425",1x,"14,425",FALSE,FALSE
50,7359135281678712838,blakeslifeline,GO,2,34,@daddyblake03,CARRINGTON,0,0,249,77K,19,86%,Y,1.00,45,60,15,"352,402",,"464,798",0%,NR,"351,595","422,412",1,3,35,"260,750",0,"155,750",1x,"155,750",FALSE,FALSE
98,7587257848577441847,im.just.a.girly39,GO,5,3,@nicoles.here3,BRYTON,0,0,76,0,24,109%,Y,1.00,150,80,-,"69,958",✧,"89,932",25%,NR,"55,811","5,118",5,4,35,0,0,0,1x,0,FALSE,FALSE
23,7558760842850746382,sarahegant,GO,1,5,@sarahegant,CARRINGTON,0,0,852,4K,14,64%,Y,1.00,30,40,10,"860,680",,"936,465",219%,NR,"269,557","830,553",0,2,34,"76,000",0,"48,000",1x,"48,000",FALSE,FALSE
57,7359135184236642309,voyce89,GO,1,35,@voyce89,CARRINGTON,0,0,765,13K,17,77%,Y,1.00,39,40,1,"288,595",,"339,765",24%,NR,"232,065","142,506",2,2,33,"93,250",0,"49,250",1x,"49,250",FALSE,FALSE
61,7409743090665242641,theviolution,GO,-1,18,@theviolution,CARRINGTON,0,0,573,196K,5,23%,Y,1.00,21,40,19,"252,697",,"277,343",-70%,NR,"833,320","928,928",1,2,33,"2,533,600","43,000",0,1x,0,,21
78,7573015023421997111,shemandigans,GO,1,4,@shemandigans,CARRINGTON,0,0,206,6K,17,77%,Y,1.00,39,40,1,"115,095",,"137,000",-63%,-18,"308,304","205,285",4,5,33,0,0,0,1x,0,FALSE,FALSE
103,7578672537446694925,cottonsnivy,GO,3,3,@cottonsnivy,CARRINGTON,0,0,994,0,25,114%,Y,1.00,73,80,7,"61,589",✧,"77,025",-68%,NR,"193,910","198,855",4,5,33,"5,000","5,000",0,1x,0,FALSE,FALSE
138,7451027162578255889,skullznbowlz,GO,5,15,,SIERRA,0,0,69,0,28,127%,Y,1.00,143,80,-,"25,744",,"30,013",-39%,NR,"42,171","67,346",5,5,33,0,0,0,1x,0,- / -,143
38,7359138475368513541,scarlettjlopez,GO,1,25,@scarlettlope,CARRINGTON,0,0,79,14K,12,55%,Y,1.00,25,40,15,"512,014",,"554,084",31%,NR,"391,605","76,000",0,-1,32,"92,000",0,"31,000",1x,"31,000",FALSE,FALSE
47,7359135857971920902,musicalnugget,GO,1,20,@iamamomnow,CARRINGTON,0,0,312,1K,16,73%,Y,1.00,33,40,7,"380,219",,"520,307",-2%,NR,"388,375","241,303",1,1,32,"1,000",0,"1,000",1x,"1,000",FALSE,FALSE
69,7359134701724041221,yourfavderek,GO,4,42,@officialderek,CARRINGTON,0,0,83,13K,24,109%,Y,1.00,84,80,-,"143,803",,"150,006",71%,NR,"84,263","130,361",3,3,32,"15,000",0,0,1x,0,FALSE,FALSE
85,7359134456151867397,luke.h.reynoldsmusic,GO,1,49,@lukereynoldsmusic,CARRINGTON,0,0,75,42K,13,59%,Y,1.00,30,40,10,"101,630",,"114,735",-88%,NR,"848,108","478,519",2,2,32,"131,500",0,"-5,000",1x,0,FALSE,FALSE
45,7359135408745447429,b.herbz,GO,0,33,@b.herb,CARRINGTON,0,"5,000",18,55K,9,41%,Y,1.00,21,40,19,"395,806",,"402,842",-12%,NR,"448,700","232,571",1,0,31,"99,150","18,000",0,1x,0,FALSE,FALSE
58,7539009437726720013,damoyee,GO,1,7,@damoyee,CARRINGTON,0,0,"2,110",3K,13,59%,Y,1.00,28,40,12,"278,822",,"278,822",-21%,-109,"353,164","206,595",1,1,31,"1,000",0,0,1x,0,FALSE,FALSE
80,7572411477894643767,cecelove320,GO,4,4,@cecechristian,CARRINGTON,0,0,127,1K,26,118%,Y,1.00,96,80,-,"112,480",,"113,031",110%,-19,"53,654","42,413",4,5,31,0,0,0,1x,0,FALSE,FALSE
139,7591706464859734029,cherylplanb,GO,5,2,@cherylsworld,CARRINGTON,0,0,"2,083",0,28,127%,Y,1.00,143,80,-,"24,629",✧,"25,194",2512%,53,943,,5,,31,0,0,0,1x,0,FALSE,FALSE
162,7507826762513154064,natures_kill,GO,5,10,@vonature,CARRINGTON,0,0,28,0,28,127%,Y,1.00,141,80,-,"16,893",,"17,868",224%,NR,"5,217","3,126",5,5,31,0,0,0,1x,0,FALSE,FALSE
252,7507053838655078417,mrsbryan27,GO,5,10,@beccabryan,CARRINGTON,0,0,655,1K,27,123%,Y,1.00,112,80,-,"2,487",,"2,833",84%,NR,"1,355",935,5,5,31,0,0,0,1x,0,FALSE,FALSE
277,7475913456957308945,homiequest,GO,5,13,@pwettyderek,CARRINGTON,0,0,28,0,27,123%,Y,1.00,159,80,-,"1,341",,"1,443",158%,NR,520,"2,027",5,5,31,0,0,0,1x,0,FALSE,FALSE
77,7548650142132584461,allltimesam,GO,2,6,@alltimesam,BRYTON,0,0,320,2K,15,68%,Y,1.00,70,80,10,"115,329",,"118,652",-21%,NR,"146,887","246,498",4,4,30,0,0,0,1x,0,FALSE,FALSE
160,7548574120376647694,sosefinaaah,GO,4,6,,CARRINGTON,0,0,116,0,21,95%,Y,1.00,107,80,-,"17,151",,"18,016",-60%,NR,"43,392","35,460",5,5,30,0,0,0,1x,0,FALSE,FALSE
35,7359137269107916806,metalkitten2,GO,2,27,@mistressmetalkitten,LEVI,0,0,"1,216",200,15,68%,Y,1.00,42,60,18,"541,306",,"621,075",267%,NR,"147,471","313,732",0,1,29,"14,000",0,"14,000",-,0,FALSE,FALSE
39,7359135268521246726,thetrapviolinist,GO,0,34,@thetrapviolinist,LEVI,0,0,"1,901",10K,8,36%,Y,1.00,15,20,5,"504,310",,"580,200",55%,NR,"326,036","114,050",-1,-1,29,"185,000",0,"58,000",-,0,FALSE,FALSE
48,7359135762769608710,mistresswednesday13,GO,2,32,@mistresswednesday,LEVI,0,0,242,0,16,73%,Y,1.00,56,60,4,"358,474",,"359,346",85%,NR,"193,911","412,379",0,2,29,"6,500","6,500",0,-,0,FALSE,FALSE
64,7359134984718024709,cpayne_04,GO,0,37,@cpayne_04,LEVI,0,0,98,15K,9,41%,Y,1.00,15,20,5,"209,042",,"248,027",-47%,NR,"396,884","351,453",1,1,29,"26,625",0,625,-,0,FALSE,FALSE
76,7359139156565622790,naseem0815,GO,3,24,@nramcharan,LEVI,0,0,62,0,24,109%,Y,1.00,75,80,5,"118,089",,"153,161",-3%,NR,"121,232","245,249",3,3,29,"4,750",0,"4,750",-,0,,75
92,7359135499635884038,the.camjohnson,GO,-1,6,@the.camjohnson,BRYTON,0,0,740,2K,6,27%,Y,1.00,17,20,3,"82,509",,"107,943",-74%,NR,"317,989","92,754",4,1,29,"5,000",0,"-5,000",-,0,FALSE,FALSE
95,7535336479992889358,whitn084,GO,2,7,@whitney552,LEVI,0,0,309,1K,25,114%,Y,1.00,58,60,2,"73,210",,"75,110",-31%,NR,"106,616","413,379",5,5,29,"16,000",0,"16,000",-,0,FALSE,FALSE
46,7368626525710794769,daisy_dew4,GO,0,22,@brittneya54_73081,LEVI,0,0,475,29K,11,50%,Y,1.00,60,80,20,"389,163",,"389,163",29%,NR,"301,118","1,366,138",0,6,28,"162,000","3,000","105,000",-,0,,60
153,7598661055547654158,kinggemini285,GO,4,2,@fantastic_fawn_45277,LEVI,0,0,799,0,26,118%,Y,1.00,99,80,-,"18,728",✧,"18,809",208%,52,"6,087",,5,,28,0,0,0,-,0,FALSE,FALSE
263,7597517130489151502,lmrese,GO,4,2,@imrese,LEVI,0,0,269,0,23,105%,Y,1.00,95,80,-,"2,031",✧,"2,036",2182%,48,89,,5,,28,0,0,0,-,0,FALSE,FALSE
292,7580253432372576270,the_ss_lifestyle,GO,4,3,,LEVI,0,0,466,0,27,123%,Y,1.00,92,80,-,"1,039",✧,"1,187",-16%,2,"1,233","1,156",5,5,28,0,0,0,-,0,FALSE,FALSE
55,7359135185687904261,ashtingles,GO,2,35,@asmrashleybenitez,LEVI,0,0,"3,730",5K,19,86%,Y,1.00,42,60,18,"317,268",,"317,268",112%,NR,"149,348","92,477",0,0,27,"3,500",0,"-2,500",-,0,FALSE,FALSE
73,7573460772341334029,gorgeousgoddessart,GO,2,4,@deravenj95,LEVI,0,0,"1,115",0,18,82%,Y,1.00,57,60,3,"131,823",,"132,901",181%,NR,"46,935","103,678",4,3,26,0,0,0,-,0,FALSE,FALSE
118,7574516554717675575,fabtiff75,GO,3,4,@tiffraz5,LEVI,0,0,185,0,24,109%,Y,1.00,63,80,17,"39,304",,"43,145",18%,-14,"33,363","48,716",5,4,26,0,0,0,-,0,FALSE,FALSE
104,7435830178007449617,its_gigi_babi,GO,4,16,@gigi_babi,LEVI,0,0,157,1K,25,114%,Y,1.00,99,80,-,"61,207",,"65,925",77%,NR,"34,581","13,469",3,0,25,0,0,0,-,0,FALSE,FALSE
145,7423558659491381249,amysalcedo5,GO,5,1,@amy070169,JOE,0,0,261,0,13,59%,Y,-0.04,23,40,17,"22,356",✧,"24,071",#DIV/0!,58,,,3,,25,0,0,0,-,0,FALSE,FALSE
154,7592009074502451213,clovonet02,GO,5,2,@clovonet8977,LEVI,0,"5,000",135,5K,26,118%,Y,1.00,115,80,-,"18,620",✧,"21,283",115%,50,"8,654",,3,,25,0,0,0,-,0,FALSE,FALSE
205,7379128586931929104,kingeloteroman,GO,4,21,,LEVI,0,0,132,0,22,100%,Y,1.00,92,80,-,"6,668",,"8,114",-11%,NR,"7,533","2,065",4,2,25,"10,000",0,"10,000",-,0,FALSE,FALSE
51,7433657413758304273,a.marie.911,GO,2,12,@a.marie.911,LEVI,0,0,83,0,20,91%,Y,1.00,49,60,11,"329,588",,"344,800",252%,NR,"93,580","71,331",0,2,24,"10,000",0,"10,000",-,0,FALSE,FALSE
86,7571891553636073485,rawhn3y,GO,0,4,@rawhn3y_91317,LEVI,0,0,"5,024",0,13,59%,Y,1.00,24,40,16,"93,639",,"93,639",-71%,-21,"325,879","462,106",2,4,24,0,0,0,-,0,FALSE,FALSE
63,7596161558443671565,biiig46,GO,2,2,@kantafukada,BRYTON,0,"3,000",150,3K,17,77%,Y,1.00,47,60,13,"212,093",✪,"215,894",310%,45,"51,680",,1,,23,"5,000",0,"5,000",1x,"5,000",FALSE,FALSE
133,7359134698641162245,roostersworld4,GO,4,42,@roostersworld98,LEVI,0,0,682,0,25,114%,Y,1.00,86,80,-,"28,017",,"29,663",-3%,NR,"28,817","37,123",3,2,23,0,0,0,-,0,FALSE,FALSE
168,7359135160358699014,kayy.jayy26,GO,2,35,@kayy.jayy26,LEVI,0,0,54,22K,18,82%,Y,1.00,45,60,15,"14,360",,"14,367",-91%,NR,"157,690","37,057",3,0,23,"10,500","4,000","4,500",-,0,FALSE,FALSE
173,7359139426389262342,poecelain,GO,2,24,,SVEN,0,0,55,0,20,91%,Y,1.00,48,60,12,"12,513",,"13,381",-66%,NR,"37,298","1,219",5,3,23,0,0,0,-,0,FALSE,FALSE
71,7538007038555897911,celia.silva072,GO,2,7,@celiasilva072,LEVI,0,0,94,5K,23,105%,Y,1.00,53,60,7,"139,046",,"141,706",66%,NR,"83,608","177,248",2,4,22,0,0,0,-,0,FALSE,FALSE
131,7581641735269302327,battyfog,GO,2,3,@battyfog,ALLIE,0,0,544,0,19,86%,Y,1.00,55,60,5,"28,935",✧,"35,004",-61%,NR,"73,730","30,075",4,2,22,0,0,0,-,0,FALSE,FALSE
229,7585352066416132151,danny.buth,GO,2,3,@risingsun.,BRYTON,0,0,28,0,19,86%,Y,1.00,73,80,7,"3,947",✧,"4,005",-33%,16,"5,932",316,5,-1,22,0,0,0,-,0,FALSE,FALSE
232,7359134578394529797,fathernewman,GO,3,6,@fathernewman21,SVEN,0,0,16,0,23,105%,Y,1.00,67,80,13,"3,344",,"3,396",536%,NR,526,"7,325",4,5,22,0,0,0,-,0,FALSE,FALSE
75,7359135632007921670,24widmar,GO,1,32,@gymlordmarkus,LEVI,0,0,114,10K,14,64%,Y,1.00,40,60,20,"120,245",,"135,317",-5%,NR,"126,062","132,466",2,1,21,"111,600",0,0,-,0,FALSE,FALSE
97,7589643748636868663,miss__kimmy,GO,2,2,@kimmys_8_46425,ASHLEY,0,0,178,0,23,105%,Y,1.00,59,60,1,"72,202",✧,"89,984",5%,30,"68,620",,3,,21,0,0,0,-,0,FALSE,FALSE
72,7359138297592938501,sonnybrightside,GO,0,25,@sonnybrightside,BRYTON,0,0,147,2K,10,45%,Y,1.00,28,40,12,"136,851",,"143,419",-4%,NR,"142,042","306,519",2,2,20,"22,000",0,0,-,0,FALSE,FALSE
109,7537739361362919437,backporch.crew,GO,1,7,@tonyamassey,ASHLEY,0,0,152,0,17,77%,Y,1.00,34,40,6,"54,809",,"77,196",-54%,-113,"120,036","124,680",3,4,20,0,0,0,-,0,FALSE,FALSE
